Clock type: CPU
Ordered by: ttot, desc

name                                  ncall  tsub      ttot      tavg
..hon3.10/functools.py:660 _c3_merge  4      0.000023  0.000034  0.000008
..b/python3.10/fnmatch.py:1 <module>  1      0.000007  0.000033  0.000033
..arse.py:165 SubPattern.__getitem__  20     0.000022  0.000032  0.000002
..mportlib._bootstrap>:826 find_spec  17     0.000021  0.000031  0.000002
..y:221 AsyncIOMainLoop.add_callback  1      0.000005  0.000030  0.000030
..urceFileLoader._check_name_wrapper  13     0.000022  0.000029  0.000002
..ootstrap_external>:180 _path_isabs  17     0.000018  0.000029  0.000002
..rocessing/popen_fork.py:1 <module>  1      0.000006  0.000027  0.000027
..hon3.10/queue.py:34 Queue.__init__  2      0.000010  0.000027  0.000014
..nal>:1628 path_hook_for_FileFinder  1      0.000005  0.000027  0.000027
..771 HTTP1ServerConnection.__init__  16     0.000027  0.000027  0.000002
../tornado/httputil.py:73 <listcomp>  12     0.000017  0.000027  0.000002
..gging/__init__.py:219 _acquireLock  12     0.000018  0.000024  0.000002
..0/threading.py:1430 current_thread  4      0.000021  0.000024  0.000006
..mportlib._bootstrap>:746 find_spec  17     0.000017  0.000023  0.000001
..nctools.py:518 decorating_function  1      0.000003  0.000023  0.000023
..e_parse.py:175 SubPattern.getwidth  4/2    0.000017  0.000022  0.000005
../python3.10/weakref.py:348 __new__  12     0.000014  0.000022  0.000002
..3.10/random.py:119 Random.__init__  1      0.000002  0.000021  0.000021
...10/functools.py:35 update_wrapper  1      0.000013  0.000020  0.000020
..thon3.10/random.py:128 Random.seed  1      0.000005  0.000019  0.000019
..ernal>:1587 FileFinder._fill_cache  1      0.000005  0.000019  0.000019
..0/typing.py:206 _collect_type_vars  4      0.000012  0.000019  0.000005
..ng.py:608 PathMatches._find_groups  1      0.000011  0.000019  0.000019
..bootstrap>:357 ModuleSpec.__init__  17     0.000018  0.000018  0.000001
..3.10/enum.py:986 RegexFlag.__and__  2      0.000007  0.000018  0.000009
..ng.py:1301 _make_invoke_excepthook  4      0.000018  0.000018  0.000004
..10/typing.py:705 ForwardRef.__eq__  12     0.000011  0.000017  0.000001
